customer_id,first_name,last_name,dob,gender,phone,email,city,state,customer_since,kyc_status,occupation,annual_income,risk_category
CUST000021,Ananya,Rao,1967-06-01,Male,9362316658,ananya.rao21@example.com,Delhi,Delhi,2022-06-13,Verified,Retired,3704419,Low
CUST000022,Priya,Sharma,1989-02-15,Female,9054668893,priya.sharma22@example.com,Ahmedabad,Gujarat,2022-12-13,Verified,Teacher,4253860,Low
CUST000023,Ananya,Chopra,1969-10-22,Female,9298069901,ananya.chopra23@example.com,Bhopal,Madhya Pradesh,2021-08-12,Verified,Engineer,1704453,Low
CUST000024,Aadhya,Nair,1995-10-17,Female,9564641708,aadhya.nair24@example.com,Hyderabad,Telangana,2013-03-02,Rejected,Doctor,2060911,Medium
CUST000025,Priya,Verma,1977-03-08,Male,9092327193,priya.verma25@example.com,Mumbai,Maharashtra,2022-06-06,Verified,Doctor,1587517,Low
CUST000026,Neha,Mehta,1982-11-27,Male,9904966319,neha.mehta26@example.com,Bengaluru,Karnataka,2026-01-25,Verified,Self Employed,1195483,Medium
CUST000027,Kiara,Verma,2002-10-17,Female,9518506716,kiara.verma27@example.com,Pune,Maharashtra,2020-02-15,Verified,Engineer,1463382,Low
CUST000028,Neha,Jain,1979-03-26,Other,9877694531,neha.jain28@example.com,Chandigarh,Punjab,2018-04-03,Pending,Retired,4078257,Low
CUST000029,Rohit,Chopra,1957-07-29,Female,9527354549,rohit.chopra29@example.com,Pune,Maharashtra,2018-03-13,Verified,Consultant,1782697,Low
CUST000030,Neha,Bose,2004-10-22,Male,9777014363,neha.bose30@example.com,Lucknow,Uttar Pradesh,2018-11-13,Verified,Doctor,4149996,Low
CUST000031,Diya,Bose,2004-05-18,Female,9574443135,diya.bose31@example.com,Bhopal,Madhya Pradesh,2014-09-06,Verified,Student,1786762,Low
CUST000032,Ira,Kumar,2002-01-25,Other,9413435240,ira.kumar32@example.com,Bhopal,Madhya Pradesh,2023-12-24,Verified,Salaried,637397,Low
CUST000033,Amit,Reddy,1999-01-15,Male,9094777520,amit.reddy33@example.com,Chandigarh,Punjab,2017-08-30,Pending,Engineer,1137032,Medium
CUST000034,Aadhya,Mishra,1959-10-23,Male,9294131869,aadhya.mishra34@example.com,Delhi,Delhi,2025-05-15,Verified,Retired,3370842,Low
CUST000035,Myra,Joshi,1993-06-21,Female,9990913341,myra.joshi35@example.com,Ahmedabad,Gujarat,2015-07-10,Verified,Consultant,809689,Low
CUST000036,Avni,Yadav,1997-02-27,Female,9034471349,avni.yadav36@example.com,Bhopal,Madhya Pradesh,2016-06-08,Verified,Consultant,2065838,Low
CUST000037,Pooja,Kumar,1961-05-28,Male,9249947174,pooja.kumar37@example.com,Bengaluru,Karnataka,2021-01-10,Pending,Consultant,4322254,Low
CUST000038,Meera,Verma,1983-12-01,Other,9401399049,meera.verma38@example.com,Jaipur,Rajasthan,2012-11-25,Verified,Student,4126846,Low
CUST000039,Myra,Kumar,1994-02-08,Other,9717565512,myra.kumar39@example.com,Bengaluru,Karnataka,2019-05-25,Verified,Engineer,2597746,Medium
CUST000040,Aadhya,Rao,1995-10-21,Male,9545168087,aadhya.rao40@example.com,Mumbai,Maharashtra,2021-04-08,Verified,Consultant,3214825,Low
CUST000041,Ira,Yadav,1973-04-06,Female,9824771093,ira.yadav41@example.com,Mumbai,Maharashtra,2015-07-21,Verified,Salaried,3602473,Low
CUST000042,Vikas,Mehta,1965-07-16,Other,9274846773,vikas.mehta42@example.com,Lucknow,Uttar Pradesh,2022-03-30,Verified,Teacher,1778955,Medium
CUST000043,Anika,Reddy,1979-10-14,Female,9584044997,anika.reddy43@example.com,Delhi,Delhi,2015-05-02,Verified,Engineer,3075109,Low
CUST000044,Priya,Rao,1995-11-07,Female,9339636057,priya.rao44@example.com,Jaipur,Rajasthan,2020-07-20,Verified,Student,4335117,High
CUST000045,Sai,Jain,1984-10-13,Male,9718702621,sai.jain45@example.com,Ahmedabad,Gujarat,2022-07-13,Verified,Self Employed,3020057,Low
CUST000046,Aadhya,Gupta,2002-11-15,Female,9578091343,aadhya.gupta46@example.com,Pune,Maharashtra,2014-01-10,Verified,Business,1023115,Low
CUST000047,Amit,Joshi,1959-02-16,Female,9045562386,amit.joshi47@example.com,Mumbai,Maharashtra,2024-09-10,Verified,Student,1605926,Low
CUST000048,Meera,Chopra,1976-08-09,Female,9923747407,meera.chopra48@example.com,Ahmedabad,Gujarat,2018-06-14,Verified,Student,799598,Low
CUST000049,Diya,Joshi,1993-01-24,Other,9474367136,diya.joshi49@example.com,Chandigarh,Punjab,2024-10-29,Verified,Self Employed,2656575,Low
CUST000050,Vikas,Chopra,1955-09-23,Other,9097439533,vikas.chopra50@example.com,Chennai,Tamil Nadu,2025-12-04,Verified,Student,995070,Medium
CUST000051,Rahul,Verma,1994-07-19,Male,9952145623,rahul.verma51@example.com,Chennai,Tamil Nadu,2014-12-18,Verified,Doctor,4389359,Medium
CUST000052,Vikas,Iyer,1998-03-25,Female,9517123685,vikas.iyer52@example.com,Chennai,Tamil Nadu,2014-01-09,Verified,Salaried,2398439,Low
CUST000053,Myra,Das,1978-07-09,Other,9651370985,myra.das53@example.com,Chandigarh,Punjab,2025-09-06,Verified,Business,4074558,Medium
CUST000054,Shaurya,Bose,1967-07-17,Male,9047113826,shaurya.bose54@example.com,Delhi,Delhi,2022-03-05,Verified,Consultant,3695890,Low
CUST000055,Neha,Reddy,1963-11-19,Female,9964053773,neha.reddy55@example.com,Jaipur,Rajasthan,2020-02-19,Verified,Doctor,3188774,Low
CUST000056,Ishaan,Patel,1995-10-18,Male,9390053293,ishaan.patel56@example.com,Delhi,Delhi,2013-07-16,Verified,Consultant,1917761,Low
CUST000057,Vikas,Singh,1968-03-28,Other,9042284210,vikas.singh57@example.com,Pune,Maharashtra,2014-12-15,Verified,Retired,2895991,Low
CUST000058,Ishaan,Verma,1992-10-07,Other,9117758917,ishaan.verma58@example.com,Bengaluru,Karnataka,2023-04-20,Verified,Freelancer,543772,Medium
CUST000059,Pooja,Jain,1996-02-04,Other,9007661771,pooja.jain59@example.com,Chennai,Tamil Nadu,2013-10-23,Verified,Student,730982,Low
CUST000060,Meera,Rao,1984-03-04,Female,9984789611,meera.rao60@example.com,Bhopal,Madhya Pradesh,2024-05-13,Verified,Retired,3787688,Low
CUST000061,Krishna,Bose,1995-09-08,Female,9615654527,krishna.bose61@example.com,Pune,Maharashtra,2013-07-03,Verified,Business,962070,Low
CUST000062,Neha,Das,2004-11-30,Male,9988516560,neha.das62@example.com,Bengaluru,Karnataka,2018-06-14,Verified,Doctor,1049064,Low
CUST000063,Ayaan,Reddy,1998-04-05,Male,9158514936,ayaan.reddy63@example.com,Chandigarh,Punjab,2024-07-31,Rejected,Freelancer,400233,Low
CUST000064,Rohit,Kumar,1971-03-09,Female,9455022961,rohit.kumar64@example.com,Mumbai,Maharashtra,2015-03-08,Verified,Salaried,949719,Medium
CUST000065,Ayaan,Chopra,1995-09-13,Female,9254599102,ayaan.chopra65@example.com,Jaipur,Rajasthan,2015-07-13,Verified,Salaried,864355,Low
CUST000066,Rohit,Bose,1994-08-28,Female,9438156149,rohit.bose66@example.com,Lucknow,Uttar Pradesh,2022-11-30,Verified,Self Employed,560988,Low
CUST000067,Meera,Verma,1973-05-04,Female,9324451076,meera.verma67@example.com,Mumbai,Maharashtra,2015-12-10,Verified,Consultant,2110308,Low
CUST000068,Vikas,Das,1990-08-16,Other,9060715969,vikas.das68@example.com,Delhi,Delhi,2021-01-26,Verified,Teacher,2608629,Low
CUST000069,Aarav,Nair,1996-04-11,Other,9516136968,aarav.nair69@example.com,Bengaluru,Karnataka,2013-10-06,Verified,Self Employed,3028043,Low
CUST000070,Priya,Iyer,2000-10-18,Other,9188355231,priya.iyer70@example.com,Delhi,Delhi,2015-04-14,Verified,Student,1462364,Medium
CUST000071,Rahul,Gupta,1999-05-01,Female,9997995527,rahul.gupta71@example.com,Bengaluru,Karnataka,2013-07-13,Verified,Self Employed,2484129,Low
CUST000072,Diya,Jain,1982-11-06,Female,9700541199,diya.jain72@example.com,Delhi,Delhi,2023-05-16,Verified,Freelancer,524123,Low
CUST000073,Sunita,Patel,1997-09-02,Other,9207151820,sunita.patel73@example.com,Pune,Maharashtra,2017-07-22,Verified,Engineer,1511659,Low
CUST000074,Pooja,Joshi,1991-09-03,Female,9905151864,pooja.joshi74@example.com,Jaipur,Rajasthan,2017-08-26,Verified,Freelancer,1441422,Low
CUST000075,Kiara,Reddy,1982-10-31,Other,9629148652,kiara.reddy75@example.com,Pune,Maharashtra,2023-10-22,Verified,Teacher,4445510,Low
CUST000076,Diya,Joshi,1974-03-20,Female,9733221418,diya.joshi76@example.com,Bengaluru,Karnataka,2024-02-08,Verified,Consultant,496648,Medium
CUST000077,Kiran,Reddy,1988-10-18,Male,9229270653,kiran.reddy77@example.com,Ahmedabad,Gujarat,2021-12-17,Verified,Engineer,2142958,Low
CUST000078,Shaurya,Mishra,1988-01-01,Other,9977468862,shaurya.mishra78@example.com,Hyderabad,Telangana,2016-06-23,Verified,Student,2277178,Low
CUST000079,Ira,Das,1964-03-15,Other,9814124782,ira.das79@example.com,Kochi,Kerala,2021-10-23,Verified,Retired,3964335,Medium
CUST000080,Pooja,Sharma,1959-10-12,Female,9853615305,pooja.sharma80@example.com,Jaipur,Rajasthan,2014-03-22,Verified,Doctor,1405150,Low
CUST000081,Shaurya,Mishra,1967-06-14,Other,9779010432,shaurya.mishra81@example.com,Bhopal,Madhya Pradesh,2024-04-22,Pending,Freelancer,3730518,Low
CUST000082,Shaurya,Singh,1965-12-06,Male,9369711798,shaurya.singh82@example.com,Chennai,Tamil Nadu,2012-05-14,Verified,Freelancer,2209524,Medium
CUST000083,Shaurya,Bose,1986-08-27,Male,9962185188,shaurya.bose83@example.com,Mumbai,Maharashtra,2023-05-19,Verified,Consultant,350576,Low
CUST000084,Ira,Verma,1989-09-16,Female,9405153195,ira.verma84@example.com,Chandigarh,Punjab,2014-12-28,Verified,Consultant,3019940,Medium
CUST000085,Reyansh,Yadav,1997-12-06,Other,9221704303,reyansh.yadav85@example.com,Bhopal,Madhya Pradesh,2012-12-09,Verified,Self Employed,3520545,High
CUST000086,Sara,Mishra,1958-04-14,Other,9345054156,sara.mishra86@example.com,Chennai,Tamil Nadu,2020-12-20,Verified,Teacher,3024045,High
CUST000087,Ira,Mishra,2001-08-02,Female,9161692845,ira.mishra87@example.com,Pune,Maharashtra,2014-04-20,Verified,Self Employed,2751073,Low
CUST000088,Amit,Bose,1994-10-28,Female,9705964016,amit.bose88@example.com,Bengaluru,Karnataka,2020-02-24,Verified,Student,441226,Low
CUST000089,Meera,Yadav,1966-04-29,Male,9355690927,meera.yadav89@example.com,Mumbai,Maharashtra,2020-04-26,Verified,Business,1335070,Low
CUST000090,Aadhya,Nair,1980-01-02,Male,9102786814,aadhya.nair90@example.com,Chandigarh,Punjab,2017-11-02,Verified,Retired,2575592,Medium
CUST000091,Ira,Patel,1967-03-06,Male,9727155188,ira.patel91@example.com,Delhi,Delhi,2018-07-06,Pending,Student,1640381,Medium
CUST000092,Anika,Singh,1973-01-11,Male,9370589578,anika.singh92@example.com,Delhi,Delhi,2014-11-29,Verified,Business,731535,Low
CUST000093,Amit,Mishra,1991-11-08,Female,9912517785,amit.mishra93@example.com,Kochi,Kerala,2014-11-17,Pending,Consultant,1706417,Medium
CUST000094,Sai,Bose,1959-12-21,Male,9824225358,sai.bose94@example.com,Kochi,Kerala,2018-05-15,Pending,Self Employed,1826699,Low
CUST000095,Sara,Kumar,1982-03-02,Other,9818299229,sara.kumar95@example.com,Bengaluru,Karnataka,2025-07-28,Verified,Freelancer,525562,Medium
CUST000096,Aarav,Gupta,1978-09-29,Other,9396907844,aarav.gupta96@example.com,Mumbai,Maharashtra,2022-10-31,Verified,Teacher,2675056,Low
CUST000097,Amit,Verma,1994-06-09,Female,9773592555,amit.verma97@example.com,Bengaluru,Karnataka,2020-12-10,Verified,Doctor,4499966,Low
CUST000098,Ananya,Singh,1965-12-28,Female,9732104696,ananya.singh98@example.com,Lucknow,Uttar Pradesh,2017-07-26,Rejected,Student,2926730,High
CUST000099,Neha,Nair,1969-04-18,Female,9877470168,neha.nair99@example.com,Hyderabad,Telangana,2022-04-03,Rejected,Retired,3140298,Low
CUST000100,Shaurya,Mishra,1997-03-21,Female,9801624565,shaurya.mishra100@example.com,Ahmedabad,Gujarat,2013-01-05,Verified,Freelancer,1812887,Low
CUST000101,Shaurya,Gupta,2000-03-28,Female,9849912165,shaurya.gupta101@example.com,Jaipur,Rajasthan,2019-08-09,Verified,Doctor,1390202,Low
CUST000102,Anika,Chopra,1958-08-12,Male,9025787298,anika.chopra102@example.com,Kochi,Kerala,2015-02-19,Verified,Freelancer,2852023,Low
CUST000103,Meera,Joshi,1985-03-06,Other,9887947055,meera.joshi103@example.com,Ahmedabad,Gujarat,2014-06-16,Rejected,Freelancer,2760988,Medium
CUST000104,Neha,Sharma,1997-07-30,Female,9993097289,neha.sharma104@example.com,Ahmedabad,Gujarat,2020-07-11,Verified,Retired,444832,Low
CUST000105,Amit,Mehta,1956-09-12,Female,9562636897,amit.mehta105@example.com,Hyderabad,Telangana,2013-05-25,Verified,Consultant,1919308,Low
CUST000106,Rohit,Mishra,1988-10-21,Female,9278585497,rohit.mishra106@example.com,Kochi,Kerala,2016-04-24,Pending,Self Employed,2683992,Low
CUST000107,Shaurya,Joshi,1973-08-06,Other,9757584419,shaurya.joshi107@example.com,Bhopal,Madhya Pradesh,2024-03-07,Verified,Teacher,3075199,High
CUST000108,Sunita,Reddy,1958-10-10,Female,9157473384,sunita.reddy108@example.com,Chennai,Tamil Nadu,2024-08-09,Verified,Student,1096258,Low
CUST000109,Kiara,Singh,1959-07-22,Other,9833016571,kiara.singh109@example.com,Hyderabad,Telangana,2015-01-31,Verified,Consultant,1504905,Low
CUST000110,Pooja,Mishra,1972-11-22,Female,9540193802,pooja.mishra110@example.com,Lucknow,Uttar Pradesh,2021-05-16,Pending,Student,484840,High
CUST000111,Aadhya,Mishra,1980-12-20,Male,9049915478,aadhya.mishra111@example.com,Bengaluru,Karnataka,2023-10-05,Verified,Student,4409642,Low
CUST000112,Ayaan,Mehta,1969-07-30,Other,9742054932,ayaan.mehta112@example.com,Pune,Maharashtra,2025-09-13,Pending,Teacher,3767834,Low
CUST000113,Aditya,Chopra,1963-07-23,Male,9275304637,aditya.chopra113@example.com,Chandigarh,Punjab,2017-12-27,Pending,Self Employed,275929,Low
CUST000114,Diya,Singh,1965-08-09,Female,9426841459,diya.singh114@example.com,Mumbai,Maharashtra,2016-12-14,Verified,Student,4191280,Low
CUST000115,Neha,Das,2004-04-10,Female,9833918785,neha.das115@example.com,Jaipur,Rajasthan,2013-10-01,Pending,Business,698064,Medium
CUST000116,Kiran,Jain,2003-02-23,Male,9258713971,kiran.jain116@example.com,Hyderabad,Telangana,2023-06-12,Verified,Salaried,3983665,Low
CUST000117,Avni,Yadav,1960-03-06,Other,9740640391,avni.yadav117@example.com,Ahmedabad,Gujarat,2013-01-06,Verified,Business,685460,High
CUST000118,Aditya,Mishra,1980-10-03,Female,9226567661,aditya.mishra118@example.com,Mumbai,Maharashtra,2024-02-04,Verified,Doctor,1175167,Low
CUST000119,Sara,Chopra,1966-06-04,Other,9300478686,sara.chopra119@example.com,Kochi,Kerala,2017-02-24,Verified,Doctor,1481252,Low
CUST000120,Pooja,Mehta,1992-08-11,Other,9033119079,pooja.mehta120@example.com,Mumbai,Maharashtra,2013-02-02,Verified,Salaried,3554446,Low
CUST000121,Sara,Patel,1967-07-28,Other,9439599534,sara.patel121@example.com,Mumbai,Maharashtra,2015-03-19,Rejected,Consultant,2034240,Low
CUST000122,Ishaan,Verma,1970-09-17,Other,9687056856,ishaan.verma122@example.com,Kochi,Kerala,2021-02-26,Verified,Teacher,1722488,Medium
CUST000123,Ira,Singh,1981-12-24,Other,9270866882,ira.singh123@example.com,Hyderabad,Telangana,2020-09-16,Verified,Retired,2950446,Low
CUST000124,Pooja,Yadav,1963-04-18,Other,9304699013,pooja.yadav124@example.com,Pune,Maharashtra,2025-03-06,Verified,Consultant,2000466,Low
CUST000125,Nitin,Nair,1956-05-17,Male,9317393638,nitin.nair125@example.com,Chennai,Tamil Nadu,2019-03-19,Verified,Teacher,4091192,Low
CUST000126,Diya,Joshi,1987-04-07,Other,9771753556,diya.joshi126@example.com,Chennai,Tamil Nadu,2013-01-09,Verified,Retired,1404088,Low
CUST000127,Sara,Bose,1968-09-03,Male,9536937854,sara.bose127@example.com,Chennai,Tamil Nadu,2022-12-16,Rejected,Engineer,4045713,Low
CUST000128,Sunita,Das,1967-07-23,Other,9872808010,sunita.das128@example.com,Bengaluru,Karnataka,2012-02-22,Verified,Retired,750156,Medium
CUST000129,Aarav,Patel,1995-11-29,Female,9099770088,aarav.patel129@example.com,Kochi,Kerala,2021-03-23,Verified,Consultant,2484692,Low
CUST000130,Shaurya,Sharma,1993-08-18,Male,9118233984,shaurya.sharma130@example.com,Kochi,Kerala,2019-12-13,Verified,Teacher,842861,Low
CUST000131,Aadhya,Yadav,1976-10-26,Other,9341016668,aadhya.yadav131@example.com,Ahmedabad,Gujarat,2022-09-04,Verified,Salaried,1617669,Low
CUST000132,Nitin,Bose,1984-09-20,Other,9180339740,nitin.bose132@example.com,Chandigarh,Punjab,2013-09-01,Verified,Self Employed,456000,Low
CUST000133,Nitin,Nair,1973-08-02,Other,9261429396,nitin.nair133@example.com,Mumbai,Maharashtra,2024-02-15,Verified,Student,837899,Low
CUST000134,Diya,Verma,1994-03-19,Male,9159996504,diya.verma134@example.com,Delhi,Delhi,2022-02-07,Verified,Doctor,3329309,Low
CUST000135,Rohit,Chopra,1981-07-01,Male,9114262655,rohit.chopra135@example.com,Delhi,Delhi,2014-05-22,Verified,Self Employed,3910714,Low
CUST000136,Ishaan,Mehta,1962-10-31,Male,9678886101,ishaan.mehta136@example.com,Bengaluru,Karnataka,2019-12-09,Verified,Freelancer,2901518,Medium
CUST000137,Aarav,Joshi,1989-10-16,Male,9839826224,aarav.joshi137@example.com,Jaipur,Rajasthan,2018-10-02,Verified,Student,710723,Low
CUST000138,Ishaan,Bose,1998-06-11,Male,9543799371,ishaan.bose138@example.com,Chennai,Tamil Nadu,2015-01-14,Verified,Teacher,2966839,Medium
CUST000139,Aadhya,Nair,1985-01-11,Female,9924593752,aadhya.nair139@example.com,Lucknow,Uttar Pradesh,2020-12-06,Rejected,Self Employed,4298867,High
CUST000140,Sunita,Singh,1988-09-26,Female,9651939828,sunita.singh140@example.com,Pune,Maharashtra,2012-08-08,Pending,Engineer,1938658,Low
CUST000141,Shaurya,Gupta,1999-10-18,Male,9434266179,shaurya.gupta141@example.com,Jaipur,Rajasthan,2022-09-30,Verified,Consultant,4429774,Medium
CUST000142,Nitin,Bose,1958-04-19,Female,9891135290,nitin.bose142@example.com,Kochi,Kerala,2024-08-18,Rejected,Teacher,2961634,High
CUST000143,Avni,Mehta,1963-11-06,Female,9388899375,avni.mehta143@example.com,Mumbai,Maharashtra,2020-10-09,Verified,Freelancer,4378211,Low
CUST000144,Aarav,Mishra,1981-07-03,Female,9112545738,aarav.mishra144@example.com,Delhi,Delhi,2022-10-31,Verified,Business,3855602,Medium
CUST000145,Myra,Nair,1981-12-09,Male,9105123828,myra.nair145@example.com,Delhi,Delhi,2015-08-04,Verified,Teacher,4055991,Low
CUST000146,Aadhya,Iyer,1993-10-08,Female,9093796603,aadhya.iyer146@example.com,Bengaluru,Karnataka,2016-08-12,Verified,Business,1033558,Medium
CUST000147,Sara,Iyer,1984-03-30,Male,9714785969,sara.iyer147@example.com,Pune,Maharashtra,2020-10-20,Verified,Doctor,3132663,Medium
CUST000148,Meera,Iyer,1981-09-07,Other,9912513412,meera.iyer148@example.com,Chandigarh,Punjab,2020-05-16,Verified,Consultant,3438666,Low
CUST000149,Sai,Chopra,1971-08-31,Female,9828274225,sai.chopra149@example.com,Jaipur,Rajasthan,2022-02-11,Verified,Doctor,260391,Low
CUST000150,Ayaan,Chopra,2000-05-06,Other,9767677219,ayaan.chopra150@example.com,Kochi,Kerala,2012-09-09,Verified,Retired,2630227,Low
CUST000151,Krishna,Rao,1970-02-02,Female,9978819148,krishna.rao151@example.com,Chennai,Tamil Nadu,2020-03-24,Verified,Salaried,3882451,Low
CUST000152,Avni,Mehta,1977-03-17,Female,9074517133,avni.mehta152@example.com,Bhopal,Madhya Pradesh,2025-03-09,Verified,Freelancer,3771725,Low
CUST000153,Sai,Patel,1960-04-29,Other,9584982544,sai.patel153@example.com,Hyderabad,Telangana,2024-11-04,Verified,Consultant,978806,Low
CUST000154,Priya,Bose,1979-11-18,Other,9223253672,priya.bose154@example.com,Mumbai,Maharashtra,2024-12-13,Verified,Teacher,3327173,Low
CUST000155,Rahul,Gupta,2001-04-04,Other,9457759017,rahul.gupta155@example.com,Jaipur,Rajasthan,2026-03-28,Verified,Doctor,711256,Medium
CUST000156,Aadhya,Patel,1974-01-02,Female,9454589297,aadhya.patel156@example.com,Jaipur,Rajasthan,2019-09-16,Pending,Salaried,565397,Low
CUST000157,Sunita,Yadav,1966-02-23,Male,9770632424,sunita.yadav157@example.com,Mumbai,Maharashtra,2014-02-03,Verified,Self Employed,871393,Low
CUST000158,Kiran,Iyer,1990-07-23,Other,9436110371,kiran.iyer158@example.com,Mumbai,Maharashtra,2014-12-23,Verified,Consultant,3913491,Low
CUST000159,Amit,Nair,1992-11-20,Other,9271361115,amit.nair159@example.com,Delhi,Delhi,2020-03-30,Pending,Student,3390496,Medium
CUST000160,Priya,Reddy,1967-10-26,Male,9890927532,priya.reddy160@example.com,Chandigarh,Punjab,2021-03-26,Verified,Engineer,2002380,Low
CUST000161,Arjun,Reddy,1989-06-14,Female,9652341389,arjun.reddy161@example.com,Delhi,Delhi,2025-06-16,Verified,Self Employed,405019,Medium
CUST000162,Rohit,Joshi,2001-06-13,Other,9836403761,rohit.joshi162@example.com,Hyderabad,Telangana,2017-05-28,Verified,Freelancer,775691,Low
CUST000163,Aarav,Das,1966-11-03,Female,9965827109,aarav.das163@example.com,Pune,Maharashtra,2013-07-07,Verified,Retired,514091,Medium
CUST000164,Sunita,Chopra,1980-09-13,Other,9866618892,sunita.chopra164@example.com,Kochi,Kerala,2018-03-23,Verified,Business,4469134,Medium
CUST000165,Sunita,Reddy,1984-04-24,Female,9914630316,sunita.reddy165@example.com,Kochi,Kerala,2014-08-08,Verified,Freelancer,641613,Low
CUST000166,Neha,Iyer,1956-02-20,Other,9202758842,neha.iyer166@example.com,Delhi,Delhi,2020-05-04,Verified,Self Employed,1170331,Medium
CUST000167,Aarav,Nair,1979-05-27,Other,9149177850,aarav.nair167@example.com,Jaipur,Rajasthan,2023-03-16,Pending,Student,3264388,Low
CUST000168,Priya,Mehta,1965-05-07,Male,9800030756,priya.mehta168@example.com,Ahmedabad,Gujarat,2015-05-14,Verified,Salaried,3697924,Low
CUST000169,Krishna,Bose,1983-09-14,Female,9195180238,krishna.bose169@example.com,Bhopal,Madhya Pradesh,2013-01-11,Pending,Business,4081492,Medium
CUST000170,Priya,Joshi,1962-10-01,Other,9705349493,priya.joshi170@example.com,Pune,Maharashtra,2022-05-28,Verified,Engineer,1819322,Medium
CUST000171,Sara,Singh,1955-07-28,Female,9038505064,sara.singh171@example.com,Bengaluru,Karnataka,2014-05-01,Verified,Retired,3701670,Low
CUST000172,Vivaan,Reddy,1980-02-08,Male,9038657191,vivaan.reddy172@example.com,Bhopal,Madhya Pradesh,2023-05-03,Verified,Teacher,807723,Low
CUST000173,Vivaan,Bose,1966-09-23,Male,9445655743,vivaan.bose173@example.com,Chandigarh,Punjab,2013-09-03,Pending,Student,1094130,Low
CUST000174,Reyansh,Yadav,1983-03-05,Female,9185374741,reyansh.yadav174@example.com,Lucknow,Uttar Pradesh,2014-01-10,Verified,Self Employed,518310,Low
CUST000175,Nitin,Nair,1963-03-08,Other,9356804420,nitin.nair175@example.com,Bengaluru,Karnataka,2021-01-25,Pending,Consultant,2275915,Low
CUST000176,Arjun,Reddy,1956-01-27,Male,9323651994,arjun.reddy176@example.com,Delhi,Delhi,2013-09-06,Verified,Business,1838850,Medium
CUST000177,Myra,Reddy,1984-09-29,Male,9070296670,myra.reddy177@example.com,Delhi,Delhi,2020-08-01,Verified,Student,3149091,Low
CUST000178,Reyansh,Kumar,1995-01-05,Male,9099934768,reyansh.kumar178@example.com,Chennai,Tamil Nadu,2022-09-29,Verified,Self Employed,3392965,Low
