account_id,customer_id,branch_id,account_type,account_number,open_date,balance,status,currency,nominee_registered
ACC0000063,CUST000381,BR0019,Savings,100000000063,2015-11-13,1134951.3,Active,INR,Yes
ACC0000064,CUST000141,BR0017,Current,100000000064,2012-01-23,133117.0,Active,INR,Yes
ACC0000065,CUST000817,BR0033,Savings,100000000065,2016-08-24,32461.17,Inactive,INR,No
ACC0000066,CUST000568,BR0015,Savings,100000000066,2020-12-09,331765.9,Closed,INR,No
ACC0000067,CUST000166,BR0028,Current,100000000067,2024-03-17,16248.25,Active,INR,No
ACC0000068,CUST000459,BR0007,Savings,100000000068,2012-09-06,1042184.9,Active,INR,No
ACC0000069,CUST000722,BR0004,Current,100000000069,2016-05-20,610281.51,Active,INR,Yes
ACC0000070,CUST000253,BR0004,Current,100000000070,2017-02-20,398901.08,Closed,INR,No
ACC0000071,CUST000370,BR0034,Recurring Deposit,100000000071,2023-01-13,360633.76,Active,INR,Yes
ACC0000072,CUST000117,BR0046,Savings,100000000072,2012-05-22,678374.89,Active,INR,No
ACC0000073,CUST000458,BR0028,Salary,100000000073,2025-05-15,304885.91,Active,INR,Yes
ACC0000074,CUST000575,BR0001,Savings,100000000074,2016-06-29,728551.75,Active,INR,No
ACC0000075,CUST000945,BR0017,Salary,100000000075,2020-10-29,524452.22,Active,INR,No
ACC0000076,CUST000600,BR0005,Current,100000000076,2015-02-06,839522.97,Active,INR,Yes
ACC0000077,CUST000059,BR0018,Savings,100000000077,2021-07-18,120650.52,Closed,INR,Yes
ACC0000078,CUST000774,BR0005,Salary,100000000078,2013-02-18,536594.19,Active,INR,No
ACC0000079,CUST000128,BR0017,Savings,100000000079,2017-11-21,702884.74,Active,INR,Yes
ACC0000080,CUST000841,BR0046,Current,100000000080,2026-02-25,835877.45,Active,INR,No
ACC0000081,CUST000256,BR0043,Recurring Deposit,100000000081,2013-06-22,380340.76,Active,INR,No
ACC0000082,CUST000626,BR0039,Current,100000000082,2025-03-23,357505.82,Active,INR,No
ACC0000083,CUST000952,BR0026,Salary,100000000083,2023-11-14,1187642.62,Active,INR,Yes
ACC0000084,CUST000204,BR0030,Current,100000000084,2014-09-12,976491.53,Active,INR,No
ACC0000085,CUST000105,BR0027,Fixed Deposit,100000000085,2014-03-26,178553.62,Active,INR,Yes
ACC0000086,CUST000497,BR0031,Current,100000000086,2017-07-26,280342.01,Active,INR,No
ACC0000087,CUST000448,BR0012,Savings,100000000087,2023-07-24,803842.94,Active,INR,Yes
ACC0000088,CUST000626,BR0029,Salary,100000000088,2013-07-02,853928.52,Inactive,INR,Yes
ACC0000089,CUST000905,BR0028,Salary,100000000089,2015-02-17,32055.19,Active,INR,No
ACC0000090,CUST000840,BR0035,Salary,100000000090,2014-05-15,107282.87,Active,INR,Yes
ACC0000091,CUST000677,BR0043,Salary,100000000091,2026-02-23,963997.78,Active,INR,Yes
ACC0000092,CUST000871,BR0035,Fixed Deposit,100000000092,2013-11-16,282635.28,Active,INR,No
ACC0000093,CUST000923,BR0010,Fixed Deposit,100000000093,2013-11-15,1171225.56,Closed,INR,No
ACC0000094,CUST000951,BR0043,Current,100000000094,2013-08-01,1164624.59,Inactive,INR,No
ACC0000095,CUST000312,BR0035,Savings,100000000095,2014-09-12,541823.97,Inactive,INR,No
ACC0000096,CUST000535,BR0033,Salary,100000000096,2017-03-24,685519.61,Active,INR,No
ACC0000097,CUST000449,BR0001,Current,100000000097,2013-05-20,974338.41,Active,INR,Yes
ACC0000098,CUST000429,BR0031,Savings,100000000098,2014-02-06,994658.36,Active,INR,Yes
ACC0000099,CUST000390,BR0037,Savings,100000000099,2025-05-11,484173.79,Active,INR,Yes
ACC0000100,CUST000957,BR0011,Current,100000000100,2023-03-17,809371.39,Active,INR,Yes
ACC0000101,CUST000615,BR0043,Savings,100000000101,2023-04-27,180949.2,Active,INR,No
ACC0000102,CUST000593,BR0043,Fixed Deposit,100000000102,2022-09-13,797667.82,Active,INR,Yes
ACC0000103,CUST000603,BR0023,Savings,100000000103,2014-08-23,310752.4,Active,INR,No
ACC0000104,CUST000116,BR0023,Savings,100000000104,2023-02-01,1079554.59,Active,INR,Yes
ACC0000105,CUST000500,BR0019,Salary,100000000105,2024-05-28,670046.05,Active,INR,No
ACC0000106,CUST000363,BR0007,Salary,100000000106,2022-04-28,697449.98,Active,INR,No
ACC0000107,CUST000187,BR0019,Current,100000000107,2025-07-25,1111509.4,Active,INR,No
ACC0000108,CUST000856,BR0040,Savings,100000000108,2024-04-06,298761.58,Active,INR,No
ACC0000109,CUST000027,BR0018,Current,100000000109,2019-01-03,182451.43,Active,INR,Yes
ACC0000110,CUST000575,BR0022,Savings,100000000110,2015-03-12,192188.79,Closed,INR,Yes
ACC0000111,CUST000846,BR0041,Savings,100000000111,2024-03-03,656280.92,Active,INR,Yes
ACC0000112,CUST000273,BR0035,Savings,100000000112,2023-04-03,273928.5,Active,INR,No
ACC0000113,CUST000141,BR0017,Savings,100000000113,2015-05-24,1188718.94,Active,INR,No
ACC0000114,CUST000617,BR0037,Savings,100000000114,2012-06-29,748075.25,Active,INR,No
ACC0000115,CUST000076,BR0014,Recurring Deposit,100000000115,2014-07-14,704004.28,Active,INR,Yes
ACC0000116,CUST000367,BR0043,Salary,100000000116,2025-06-13,768296.36,Active,INR,Yes
ACC0000117,CUST000732,BR0027,Savings,100000000117,2016-10-13,570394.91,Active,INR,Yes
ACC0000118,CUST000350,BR0012,Recurring Deposit,100000000118,2012-12-24,1102061.59,Active,INR,Yes
ACC0000119,CUST000411,BR0022,Salary,100000000119,2012-06-28,1092056.7,Active,INR,No
ACC0000120,CUST000769,BR0020,Current,100000000120,2017-11-17,149920.91,Active,INR,No
ACC0000121,CUST000666,BR0003,Fixed Deposit,100000000121,2018-06-26,328683.31,Active,INR,No
ACC0000122,CUST000412,BR0005,Current,100000000122,2022-11-10,1075942.56,Closed,INR,Yes
ACC0000123,CUST000791,BR0034,Savings,100000000123,2017-10-20,713659.36,Active,INR,Yes
ACC0000124,CUST000560,BR0035,Recurring Deposit,100000000124,2012-01-24,1039625.35,Active,INR,Yes
ACC0000125,CUST000100,BR0018,Savings,100000000125,2018-01-27,496732.52,Active,INR,Yes
ACC0000126,CUST000807,BR0015,Salary,100000000126,2025-12-17,222057.21,Active,INR,No
ACC0000127,CUST000970,BR0017,Current,100000000127,2025-10-29,795969.96,Active,INR,Yes
ACC0000128,CUST000716,BR0038,Savings,100000000128,2025-11-15,659687.76,Active,INR,No
ACC0000129,CUST000581,BR0020,Salary,100000000129,2014-01-09,393128.28,Active,INR,No
ACC0000130,CUST000823,BR0043,Savings,100000000130,2014-10-13,736629.68,Active,INR,Yes
ACC0000131,CUST000060,BR0044,Salary,100000000131,2020-02-07,296052.6,Inactive,INR,Yes
ACC0000132,CUST000360,BR0008,Savings,100000000132,2013-10-05,507267.35,Active,INR,Yes
ACC0000133,CUST000853,BR0039,Current,100000000133,2024-06-14,969100.93,Active,INR,No
ACC0000134,CUST000255,BR0027,Recurring Deposit,100000000134,2014-10-27,120459.97,Active,INR,No
ACC0000135,CUST000382,BR0039,Savings,100000000135,2022-11-21,9710.16,Active,INR,No
ACC0000136,CUST000827,BR0009,Savings,100000000136,2025-01-06,300636.19,Active,INR,No
ACC0000137,CUST000385,BR0044,Fixed Deposit,100000000137,2024-06-26,736261.86,Active,INR,No
ACC0000138,CUST000052,BR0021,Salary,100000000138,2017-11-17,194614.22,Active,INR,No
ACC0000139,CUST000323,BR0028,Fixed Deposit,100000000139,2022-12-28,907641.43,Active,INR,Yes
ACC0000140,CUST000585,BR0029,Salary,100000000140,2018-12-02,921722.46,Closed,INR,Yes
ACC0000141,CUST000801,BR0033,Salary,100000000141,2012-08-24,510469.18,Active,INR,No
ACC0000142,CUST000265,BR0026,Fixed Deposit,100000000142,2014-12-07,1025218.73,Active,INR,No
ACC0000143,CUST000345,BR0045,Savings,100000000143,2014-06-07,476090.22,Active,INR,No
ACC0000144,CUST000235,BR0004,Savings,100000000144,2021-07-17,192736.84,Active,INR,Yes
ACC0000145,CUST000156,BR0019,Savings,100000000145,2022-02-19,514104.29,Inactive,INR,No
ACC0000146,CUST000319,BR0026,Savings,100000000146,2019-02-01,736121.12,Active,INR,Yes
ACC0000147,CUST000081,BR0012,Savings,100000000147,2014-03-29,111214.04,Inactive,INR,No
ACC0000148,CUST000547,BR0034,Current,100000000148,2013-05-06,7840.08,Inactive,INR,Yes
ACC0000149,CUST000111,BR0031,Current,100000000149,2020-11-18,577699.83,Active,INR,Yes
ACC0000150,CUST000201,BR0006,Savings,100000000150,2025-05-10,1059033.02,Active,INR,Yes
ACC0000151,CUST000954,BR0018,Savings,100000000151,2021-02-28,951137.72,Active,INR,No
ACC0000152,CUST000078,BR0010,Salary,100000000152,2015-09-10,64638.72,Active,INR,Yes
ACC0000153,CUST000754,BR0049,Fixed Deposit,100000000153,2019-09-03,273957.15,Active,INR,No
ACC0000154,CUST000888,BR0049,Current,100000000154,2022-05-06,665152.1,Closed,INR,Yes
ACC0000155,CUST000378,BR0017,Fixed Deposit,100000000155,2015-12-03,372060.66,Active,INR,Yes
ACC0000156,CUST000516,BR0021,Fixed Deposit,100000000156,2020-02-13,956400.63,Closed,INR,No
ACC0000157,CUST000049,BR0003,Salary,100000000157,2021-08-17,305730.38,Active,INR,No
ACC0000158,CUST000668,BR0030,Savings,100000000158,2015-04-08,1043909.46,Active,INR,Yes
ACC0000159,CUST000115,BR0009,Fixed Deposit,100000000159,2015-06-16,1121618.39,Frozen,INR,No
ACC0000160,CUST000789,BR0035,Current,100000000160,2023-01-07,818765.43,Active,INR,Yes
ACC0000161,CUST000462,BR0029,Fixed Deposit,100000000161,2020-12-05,917106.65,Active,INR,No
ACC0000162,CUST000661,BR0042,Salary,100000000162,2015-09-24,587397.61,Active,INR,No
ACC0000163,CUST000702,BR0011,Salary,100000000163,2022-08-25,424679.41,Active,INR,Yes
ACC0000164,CUST000821,BR0005,Current,100000000164,2020-09-05,1154798.28,Active,INR,No
ACC0000165,CUST000337,BR0046,Current,100000000165,2012-09-28,464242.29,Frozen,INR,Yes
ACC0000166,CUST000333,BR0047,Current,100000000166,2015-04-01,320485.01,Inactive,INR,No
ACC0000167,CUST000869,BR0015,Fixed Deposit,100000000167,2012-04-06,43398.82,Inactive,INR,Yes
ACC0000168,CUST000528,BR0005,Salary,100000000168,2020-11-20,528929.64,Active,INR,Yes
ACC0000169,CUST000863,BR0028,Savings,100000000169,2015-11-12,334985.54,Active,INR,No
ACC0000170,CUST000268,BR0017,Savings,100000000170,2023-12-04,252714.09,Active,INR,No
ACC0000171,CUST000705,BR0005,Current,100000000171,2025-11-23,261322.51,Active,INR,Yes
ACC0000172,CUST000016,BR0042,Salary,100000000172,2019-03-10,289487.82,Active,INR,Yes
ACC0000173,CUST000550,BR0030,Recurring Deposit,100000000173,2023-06-30,793454.04,Inactive,INR,No
ACC0000174,CUST000824,BR0040,Current,100000000174,2021-07-18,1185812.3,Active,INR,Yes
ACC0000175,CUST000907,BR0049,Salary,100000000175,2013-05-14,367637.02,Frozen,INR,No
ACC0000176,CUST000593,BR0045,Savings,100000000176,2022-10-01,126032.63,Active,INR,Yes
ACC0000177,CUST000260,BR0025,Savings,100000000177,2014-01-03,1034286.54,Frozen,INR,No
ACC0000178,CUST000728,BR0017,Savings,100000000178,2014-12-18,1085518.0,Active,INR,Yes
ACC0000179,CUST000607,BR0029,Savings,100000000179,2017-04-12,286301.46,Active,INR,Yes
ACC0000180,CUST001000,BR0008,Recurring Deposit,100000000180,2024-04-30,600213.03,Active,INR,Yes
ACC0000181,CUST000967,BR0037,Savings,100000000181,2015-11-13,620738.78,Active,INR,Yes
ACC0000182,CUST000729,BR0037,Current,100000000182,2016-10-03,201756.0,Active,INR,Yes
ACC0000183,CUST000016,BR0012,Savings,100000000183,2012-01-18,20024.8,Active,INR,No
ACC0000184,CUST000473,BR0028,Savings,100000000184,2013-01-06,1092093.88,Active,INR,No
ACC0000185,CUST000733,BR0025,Savings,100000000185,2024-04-14,100791.88,Active,INR,No
ACC0000186,CUST000393,BR0006,Savings,100000000186,2017-04-11,1077340.41,Active,INR,No
ACC0000187,CUST000666,BR0016,Current,100000000187,2013-11-27,707764.34,Active,INR,No
ACC0000188,CUST000283,BR0027,Salary,100000000188,2024-05-05,769996.67,Active,INR,No
ACC0000189,CUST000419,BR0038,Savings,100000000189,2014-03-11,42325.62,Active,INR,Yes
ACC0000190,CUST000469,BR0049,Savings,100000000190,2016-02-03,4708.22,Active,INR,No
ACC0000191,CUST000967,BR0022,Recurring Deposit,100000000191,2025-03-12,455337.69,Active,INR,No
ACC0000192,CUST000021,BR0045,Savings,100000000192,2021-09-15,1166946.71,Active,INR,No
ACC0000193,CUST000276,BR0006,Savings,100000000193,2020-10-24,1099409.78,Active,INR,Yes
ACC0000194,CUST000726,BR0006,Salary,100000000194,2017-01-15,1184144.48,Active,INR,No
ACC0000195,CUST000555,BR0021,Savings,100000000195,2025-10-09,981624.91,Inactive,INR,No
ACC0000196,CUST000791,BR0040,Current,100000000196,2023-09-22,738403.05,Active,INR,Yes
ACC0000197,CUST000441,BR0027,Current,100000000197,2018-08-07,664976.33,Active,INR,No
ACC0000198,CUST000164,BR0025,Current,100000000198,2012-05-06,633781.4,Active,INR,Yes
ACC0000199,CUST000484,BR0034,Recurring Deposit,100000000199,2022-11-19,938016.34,Active,INR,Yes
ACC0000200,CUST000380,BR0038,Savings,100000000200,2020-02-21,544514.39,Active,INR,No
ACC0000201,CUST000919,BR0025,Savings,100000000201,2025-05-03,284478.68,Active,INR,Yes
ACC0000202,CUST000136,BR0028,Fixed Deposit,100000000202,2020-01-15,545735.28,Closed,INR,Yes
ACC0000203,CUST000390,BR0001,Savings,100000000203,2013-10-06,664178.58,Active,INR,No
ACC0000204,CUST000957,BR0009,Fixed Deposit,100000000204,2022-05-04,433767.69,Active,INR,Yes
ACC0000205,CUST000472,BR0032,Current,100000000205,2014-01-09,805321.57,Active,INR,No
ACC0000206,CUST000395,BR0039,Savings,100000000206,2013-09-03,116338.11,Active,INR,Yes
ACC0000207,CUST000288,BR0006,Current,100000000207,2025-04-13,483674.12,Active,INR,No
ACC0000208,CUST000182,BR0011,Savings,100000000208,2022-09-16,401453.78,Active,INR,No
ACC0000209,CUST000055,BR0046,Fixed Deposit,100000000209,2017-12-05,865346.81,Active,INR,Yes
ACC0000210,CUST000108,BR0036,Savings,100000000210,2018-08-02,447731.67,Active,INR,Yes
ACC0000211,CUST000327,BR0028,Salary,100000000211,2014-11-01,3961.93,Active,INR,Yes
ACC0000212,CUST000865,BR0024,Current,100000000212,2012-01-01,852512.79,Active,INR,Yes
ACC0000213,CUST000065,BR0041,Savings,100000000213,2019-09-04,492305.49,Closed,INR,No
ACC0000214,CUST000176,BR0014,Salary,100000000214,2018-03-31,1017218.17,Active,INR,Yes
ACC0000215,CUST000516,BR0011,Fixed Deposit,100000000215,2025-09-14,394053.98,Active,INR,No
ACC0000216,CUST000006,BR0004,Savings,100000000216,2023-09-01,782513.61,Inactive,INR,Yes
ACC0000217,CUST000165,BR0045,Savings,100000000217,2022-02-24,288824.39,Active,INR,No
ACC0000218,CUST000075,BR0025,Fixed Deposit,100000000218,2024-02-29,1109073.08,Active,INR,No
ACC0000219,CUST000007,BR0031,Savings,100000000219,2019-11-18,1131593.89,Active,INR,Yes
ACC0000220,CUST000094,BR0008,Current,100000000220,2012-01-09,732696.88,Active,INR,Yes
ACC0000221,CUST000836,BR0043,Savings,100000000221,2016-03-03,513170.71,Active,INR,Yes
ACC0000222,CUST000762,BR0024,Savings,100000000222,2021-11-18,64361.51,Active,INR,Yes
ACC0000223,CUST000045,BR0003,Current,100000000223,2021-08-25,712581.3,Active,INR,Yes
ACC0000224,CUST000980,BR0031,Savings,100000000224,2013-12-10,1052769.25,Active,INR,No
ACC0000225,CUST000576,BR0046,Savings,100000000225,2018-07-28,272790.51,Active,INR,No
ACC0000226,CUST000424,BR0038,Current,100000000226,2016-10-13,1038312.81,Active,INR,Yes
ACC0000227,CUST000610,BR0017,Savings,100000000227,2022-08-04,919306.33,Active,INR,Yes
ACC0000228,CUST000983,BR0040,Salary,100000000228,2023-07-18,1110871.71,Closed,INR,Yes
ACC0000229,CUST000825,BR0020,Salary,100000000229,2013-11-08,256254.26,Active,INR,Yes
ACC0000230,CUST000037,BR0017,Savings,100000000230,2015-06-13,422478.11,Active,INR,No
ACC0000231,CUST000228,BR0044,Savings,100000000231,2022-07-03,1070936.03,Active,INR,No
ACC0000232,CUST000449,BR0017,Current,100000000232,2017-06-05,405205.43,Inactive,INR,No
ACC0000233,CUST000543,BR0004,Savings,100000000233,2018-02-14,1174826.81,Active,INR,No
ACC0000234,CUST000459,BR0013,Current,100000000234,2016-11-29,1187676.86,Frozen,INR,No
ACC0000235,CUST000954,BR0035,Current,100000000235,2024-04-09,364715.86,Active,INR,Yes
ACC0000236,CUST000392,BR0041,Recurring Deposit,100000000236,2018-09-06,487367.69,Active,INR,Yes
ACC0000237,CUST000339,BR0022,Savings,100000000237,2021-12-18,1112450.87,Active,INR,No
ACC0000238,CUST000369,BR0029,Current,100000000238,2019-11-27,96533.92,Closed,INR,Yes
ACC0000239,CUST000211,BR0037,Savings,100000000239,2012-03-20,713082.91,Active,INR,No
ACC0000240,CUST000924,BR0050,Savings,100000000240,2012-12-14,592314.72,Active,INR,Yes
ACC0000241,CUST000683,BR0039,Savings,100000000241,2017-03-28,120125.98,Active,INR,Yes
ACC0000242,CUST000474,BR0050,Current,100000000242,2020-09-12,114158.29,Frozen,INR,Yes
ACC0000243,CUST000146,BR0022,Salary,100000000243,2021-12-25,818531.61,Active,INR,Yes
ACC0000244,CUST000173,BR0041,Savings,100000000244,2025-12-05,445453.37,Active,INR,No
ACC0000245,CUST000716,BR0006,Salary,100000000245,2012-01-06,1071616.09,Active,INR,Yes
ACC0000246,CUST000449,BR0021,Salary,100000000246,2024-09-09,429134.6,Closed,INR,Yes
ACC0000247,CUST000162,BR0027,Salary,100000000247,2013-02-19,95188.42,Active,INR,Yes
ACC0000248,CUST000884,BR0047,Fixed Deposit,100000000248,2019-10-13,1159951.59,Active,INR,No
ACC0000249,CUST000451,BR0041,Fixed Deposit,100000000249,2019-08-15,38872.75,Active,INR,No
ACC0000250,CUST000103,BR0049,Savings,100000000250,2016-04-15,1013507.51,Active,INR,Yes
ACC0000251,CUST000954,BR0023,Salary,100000000251,2025-03-25,809048.65,Active,INR,Yes
ACC0000252,CUST000683,BR0049,Salary,100000000252,2013-01-29,12162.43,Active,INR,Yes
ACC0000253,CUST000994,BR0020,Salary,100000000253,2012-04-09,244314.49,Inactive,INR,Yes
ACC0000254,CUST000004,BR0018,Savings,100000000254,2012-09-14,1054005.11,Active,INR,No
ACC0000255,CUST000066,BR0005,Current,100000000255,2026-01-22,736310.39,Active,INR,Yes
ACC0000256,CUST000670,BR0022,Fixed Deposit,100000000256,2025-10-30,1070342.31,Closed,INR,No
ACC0000257,CUST000355,BR0049,Salary,100000000257,2020-05-20,823386.61,Active,INR,Yes
ACC0000258,CUST000371,BR0025,Savings,100000000258,2013-04-30,489364.71,Active,INR,Yes
ACC0000259,CUST000660,BR0002,Savings,100000000259,2021-08-11,1131514.06,Inactive,INR,Yes
ACC0000260,CUST000076,BR0035,Savings,100000000260,2021-11-07,573262.03,Active,INR,Yes
ACC0000261,CUST000491,BR0033,Savings,100000000261,2014-10-23,860129.41,Closed,INR,Yes
ACC0000262,CUST000584,BR0019,Savings,100000000262,2020-05-29,1034334.68,Active,INR,No
ACC0000263,CUST000503,BR0030,Savings,100000000263,2015-07-11,401342.05,Active,INR,Yes
ACC0000264,CUST000649,BR0023,Salary,100000000264,2013-08-20,592129.71,Frozen,INR,No
ACC0000265,CUST000262,BR0009,Fixed Deposit,100000000265,2016-02-13,343399.94,Active,INR,No
ACC0000266,CUST000189,BR0038,Savings,100000000266,2016-03-10,793959.01,Active,INR,Yes
ACC0000267,CUST000225,BR0015,Savings,100000000267,2014-02-19,84157.94,Active,INR,Yes
ACC0000268,CUST000586,BR0003,Current,100000000268,2021-06-17,1006796.85,Active,INR,Yes
ACC0000269,CUST000006,BR0041,Salary,100000000269,2024-02-18,667165.14,Active,INR,No
ACC0000270,CUST000249,BR0001,Savings,100000000270,2014-08-13,106519.3,Active,INR,Yes
ACC0000271,CUST000814,BR0009,Current,100000000271,2012-02-23,338267.07,Active,INR,No
ACC0000272,CUST000343,BR0049,Fixed Deposit,100000000272,2024-08-13,668002.02,Frozen,INR,No
ACC0000273,CUST000332,BR0037,Fixed Deposit,100000000273,2013-12-19,205604.81,Active,INR,No
ACC0000274,CUST000320,BR0011,Savings,100000000274,2017-03-06,1143924.88,Active,INR,Yes
ACC0000275,CUST000817,BR0001,Fixed Deposit,100000000275,2015-03-04,549358.96,Active,INR,Yes
ACC0000276,CUST000080,BR0017,Current,100000000276,2022-05-23,1067968.79,Active,INR,Yes
ACC0000277,CUST000002,BR0029,Savings,100000000277,2019-09-21,1010303.54,Active,INR,Yes
ACC0000278,CUST000186,BR0013,Savings,100000000278,2015-10-10,119220.1,Active,INR,Yes
ACC0000279,CUST000070,BR0023,Fixed Deposit,100000000279,2023-10-06,942918.78,Active,INR,No
ACC0000280,CUST000741,BR0001,Salary,100000000280,2024-09-06,113808.77,Active,INR,Yes
ACC0000281,CUST000516,BR0028,Savings,100000000281,2020-04-30,399112.74,Active,INR,No
ACC0000282,CUST000583,BR0048,Current,100000000282,2022-07-20,201391.53,Active,INR,No
